"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-06","4.4","7.1","0.0","0.0",,"11.1","6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-07","5.3","0.0","0.0","0.0",,"13.3","3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-08","3.5","0.0","0.0","0.0",,"11.1","0.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-09","3.0","0.0","0.0","0.0",,"19.4","0.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-10","3.0","0.0","0.0","0.0",,"17.2","6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-11","1.5","0.0","0.0","0.0",,"20.6","3.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-12","5.0","0.0","0.0","0.0",,"20.0","8.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-13","7.2","18.5","0.0","0.0",,"20.6","7.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-14","5.4","1.8","0.0","0.0",,"23.3","11.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-15","5.8","14.2","0.0","0.0",,"21.7","12.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-16","6.9","0.0","0.0","0.0",,"16.1","7.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-17","3.5","0.0","0.0","0.0",,"18.3","4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-18","1.3","0.0","0.0","0.0",,"19.4","3.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-19","1.0","0.0","0.0","0.0",,"20.6","7.2","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-20","1.3","0.0","0.0","0.0",,"21.7","10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-21","4.3","0.0","0.0","0.0",,"16.1","5.6","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-22","1.4","0.0","0.0","0.0",,"18.9","1.1","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-23","5.0","0.0","0.0","0.0",,"20.6","8.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-24","4.9","12.7","0.0","0.0",,"15.6","10.0","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-25","6.2","1.0","0.0","0.0",,"16.1","8.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-26","3.6","0.0","0.0","0.0",,"17.2","6.7","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-27","2.4","0.0","0.0","0.0",,"15.6","3.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-28","4.4","0.0","0.0","0.0",,"20.6","4.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-29","5.9","0.0","0.0","0.0",,"22.8","13.3","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-04-30","4.1","1.8","0.0","0.0",,"20.6","12.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-05-01","6.1","0.0","0.0","0.0",,"17.8","9.4","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-05-02","5.3","0.0","0.0","0.0",,"17.8","8.9","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-05-03","3.7","1.3","0.0","0.0",,"13.9","7.8","0.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2010-05-04","4.7","0.0","0.0","0.0",,"26.1","5.0","0.0"
